Fecha, Precipitación(mm), Temperatura Media(ºC), Temperatura Máxima(ºC), Temperatura Mínima(ºC), Evaporación(mm),Clave,Latitud,Longitud
2004/12/10,0.00,21.50,34.00,9.00,2.70,C14197,19.94,-104.259722
2004/12/11,0.00,25.50,39.50,11.50,3.14,C14197,19.94,-104.259722
2004/12/12,0.00,19.75,30.50,9.00,4.45,C14197,19.94,-104.259722
2004/12/13,0.00,19.25,30.00,8.50,3.04,C14197,19.94,-104.259722
2004/12/14,0.00,17.00,25.00,9.00,0.70,C14197,19.94,-104.259722
2004/12/15,4.00,16.00,18.00,14.00,1.79,C14197,19.94,-104.259722
2004/12/16,0.00,18.25,26.50,10.00,2.88,C14197,19.94,-104.259722
2004/12/17,0.00,16.50,25.00,8.00,2.55,C14197,19.94,-104.259722
2004/12/18,0.00,17.00,26.00,8.00,3.46,C14197,19.94,-104.259722
2004/12/19,0.00,17.50,26.00,9.00,1.79,C14197,19.94,-104.259722
2004/12/20,0.00,18.00,26.00,10.00,4.68,C14197,19.94,-104.259722
2004/12/21,0.00,18.50,26.50,10.50,0.80,C14197,19.94,-104.259722
2004/12/22,0.00,18.25,27.00,9.50,2.02,C14197,19.94,-104.259722
2004/12/23,0.00,19.00,28.00,10.00,3.06,C14197,19.94,-104.259722
2004/12/24,0.00,17.00,24.00,10.00,3.68,C14197,19.94,-104.259722
2004/12/25,0.00,14.25,24.50,4.00,2.39,C14197,19.94,-104.259722
2004/12/26,0.00,16.00,27.50,4.50,5.37,C14197,19.94,-104.259722
2004/12/27,0.00,17.25,27.50,7.00,1.53,C14197,19.94,-104.259722
2004/12/28,0.00,18.00,29.00,7.00,2.50,C14197,19.94,-104.259722
2004/12/29,0.00,18.70,29.00,8.40,2.63,C14197,19.94,-104.259722
2004/12/30,0.00,19.00,30.00,8.00,3.74,C14197,19.94,-104.259722
2004/12/31,0.00,17.75,26.50,9.00,4.34,C14197,19.94,-104.259722
2005/01/01,0.00,19.00,29.00,9.00,2.97,C14197,19.94,-104.259722
2005/01/02,0.00,18.25,26.50,10.00,2.29,C14197,19.94,-104.259722
2005/01/03,0.00,19.75,29.00,10.50,2.01,C14197,19.94,-104.259722
2005/01/04,0.00,19.25,29.00,9.50,3.25,C14197,19.94,-104.259722
2005/01/05,0.00,20.25,31.00,9.50,3.42,C14197,19.94,-104.259722
2005/01/06,0.00,18.75,29.00,8.50,4.29,C14197,19.94,-104.259722
2005/01/07,0.00,18.00,27.00,9.00,3.72,C14197,19.94,-104.259722
2005/01/08,0.00,19.25,29.50,9.00,3.72,C14197,19.94,-104.259722
2005/01/09,0.00,20.75,32.00,9.50,6.20,C14197,19.94,-104.259722
2005/01/10,0.00,25.25,39.50,11.00,3.45,C14197,19.94,-104.259722
2005/01/11,0.00,20.50,31.00,10.00,2.96,C14197,19.94,-104.259722
2005/01/12,0.00,19.25,28.50,10.00,3.73,C14197,19.94,-104.259722
2005/01/13,0.00,16.75,27.00,6.50,2.47,C14197,19.94,-104.259722
2005/01/14,0.00,17.25,27.50,7.00,4.10,C14197,19.94,-104.259722
2005/01/15,0.00,18.25,29.50,7.00,3.32,C14197,19.94,-104.259722
2005/01/16,0.00,19.00,30.00,8.00,4.08,C14197,19.94,-104.259722
2005/01/17,0.00,19.00,29.00,9.00,2.37,C14197,19.94,-104.259722
2005/01/18,0.00,17.75,25.50,10.00,3.78,C14197,19.94,-104.259722
2005/01/19,0.00,19.25,27.50,11.00,2.50,C14197,19.94,-104.259722
2005/01/20,0.00,18.50,26.50,10.50,1.91,C14197,19.94,-104.259722
2005/01/21,0.00,16.75,23.00,10.50,1.85,C14197,19.94,-104.259722
