Fecha, Precipitación(mm), Temperatura Media(ºC), Temperatura Máxima(ºC), Temperatura Mínima(ºC), Evaporación(mm),Clave,Latitud,Longitud
2016/07/12,-,-,31.50,21.50,-,CHFJL,19.627778,-104.555278
2016/07/13,-,-,-,-,-,CHFJL,19.627778,-104.555278
2016/07/14,-,-,-,-,-,CHFJL,19.627778,-104.555278
2016/07/15,-,-,-,-,-,CHFJL,19.627778,-104.555278
2016/07/16,-,-,-,-,-,CHFJL,19.627778,-104.555278
2016/07/17,-,-,32.00,20.00,-,CHFJL,19.627778,-104.555278
2016/07/18,-,-,-,-,-,CHFJL,19.627778,-104.555278
2016/07/19,-,-,33.50,20.50,-,CHFJL,19.627778,-104.555278
2016/07/20,-,-,34.50,21.50,-,CHFJL,19.627778,-104.555278
2016/07/21,-,-,33.00,21.00,-,CHFJL,19.627778,-104.555278
2016/07/22,-,-,33.00,21.00,-,CHFJL,19.627778,-104.555278
2016/07/23,-,-,-,-,-,CHFJL,19.627778,-104.555278
2016/07/24,-,-,33.00,21.00,-,CHFJL,19.627778,-104.555278
2016/07/25,-,-,35.00,23.00,-,CHFJL,19.627778,-104.555278
2016/07/26,-,-,-,-,-,CHFJL,19.627778,-104.555278
2016/07/27,-,-,32.50,21.00,-,CHFJL,19.627778,-104.555278
2016/07/28,-,-,35.00,21.00,-,CHFJL,19.627778,-104.555278
2016/07/29,-,-,34.00,21.00,-,CHFJL,19.627778,-104.555278
2016/07/30,-,-,-,-,-,CHFJL,19.627778,-104.555278
2016/07/31,-,-,-,-,-,CHFJL,19.627778,-104.555278
2016/08/01,-,-,-,-,-,CHFJL,19.627778,-104.555278
2016/08/02,-,-,-,-,-,CHFJL,19.627778,-104.555278
2016/08/03,-,-,-,-,-,CHFJL,19.627778,-104.555278
2016/08/04,-,-,35.50,22.00,-,CHFJL,19.627778,-104.555278
2016/08/05,-,-,25.50,21.00,-,CHFJL,19.627778,-104.555278
2016/08/06,-,-,-,-,-,CHFJL,19.627778,-104.555278
2016/08/07,-,-,32.50,22.00,-,CHFJL,19.627778,-104.555278
2016/08/08,-,-,26.50,21.50,-,CHFJL,19.627778,-104.555278
2016/08/09,-,-,30.00,21.50,-,CHFJL,19.627778,-104.555278
2016/08/10,-,-,34.00,21.50,-,CHFJL,19.627778,-104.555278
2016/08/11,-,-,34.00,21.50,-,CHFJL,19.627778,-104.555278
2016/08/12,-,-,-,-,-,CHFJL,19.627778,-104.555278
2016/08/13,-,-,-,-,-,CHFJL,19.627778,-104.555278
2016/08/14,-,-,35.00,22.00,-,CHFJL,19.627778,-104.555278
2016/08/15,-,-,-,-,-,CHFJL,19.627778,-104.555278
2016/08/16,-,-,32.50,22.00,-,CHFJL,19.627778,-104.555278
2016/08/17,-,-,33.00,22.00,-,CHFJL,19.627778,-104.555278
2016/08/18,-,-,31.00,21.50,-,CHFJL,19.627778,-104.555278
2016/08/19,-,-,33.00,21.50,-,CHFJL,19.627778,-104.555278
2016/08/20,-,-,-,-,-,CHFJL,19.627778,-104.555278
2016/08/21,-,-,34.00,22.00,-,CHFJL,19.627778,-104.555278
2016/08/22,-,-,33.50,21.50,-,CHFJL,19.627778,-104.555278
2016/08/23,-,-,33.50,20.00,-,CHFJL,19.627778,-104.555278
2016/08/24,-,-,32.00,20.00,-,CHFJL,19.627778,-104.555278
2016/08/25,-,-,33.50,21.00,-,CHFJL,19.627778,-104.555278
2016/08/26,-,-,39.00,21.00,-,CHFJL,19.627778,-104.555278
2016/08/27,-,-,-,-,-,CHFJL,19.627778,-104.555278
2016/08/28,-,-,35.00,20.00,-,CHFJL,19.627778,-104.555278
2016/08/29,-,-,33.50,20.50,-,CHFJL,19.627778,-104.555278
2016/08/30,-,-,34.50,20.50,-,CHFJL,19.627778,-104.555278
2016/08/31,-,-,32.50,20.50,-,CHFJL,19.627778,-104.555278
2016/09/01,-,-,34.00,20.90,-,CHFJL,19.627778,-104.555278
2016/09/02,-,-,32.00,22.50,-,CHFJL,19.627778,-104.555278
2016/09/03,-,-,34.00,21.50,-,CHFJL,19.627778,-104.555278
2016/09/04,-,-,34.00,21.50,-,CHFJL,19.627778,-104.555278
2016/09/05,-,-,33.50,21.50,-,CHFJL,19.627778,-104.555278
2016/09/06,-,-,23.00,20.00,-,CHFJL,19.627778,-104.555278
2016/09/07,-,-,33.50,20.50,-,CHFJL,19.627778,-104.555278
2016/09/08,-,-,35.00,20.50,-,CHFJL,19.627778,-104.555278
2016/09/09,-,-,35.00,20.50,-,CHFJL,19.627778,-104.555278
2016/09/10,-,-,33.00,20.50,-,CHFJL,19.627778,-104.555278
2016/09/11,-,-,34.50,20.50,-,CHFJL,19.627778,-104.555278
2016/09/12,-,-,36.00,24.00,-,CHFJL,19.627778,-104.555278
2016/09/13,-,-,34.00,20.50,-,CHFJL,19.627778,-104.555278
2016/09/14,-,-,34.50,20.00,-,CHFJL,19.627778,-104.555278
2016/09/15,-,-,34.50,21.00,-,CHFJL,19.627778,-104.555278
2016/09/16,-,-,-,-,-,CHFJL,19.627778,-104.555278
2016/09/17,-,-,-,-,-,CHFJL,19.627778,-104.555278
