Fecha, Precipitación(mm), Temperatura Media(ºC), Temperatura Máxima(ºC), Temperatura Mínima(ºC), Evaporación(mm),Clave,Latitud,Longitud
2014/01/01,0.00,,,,1.89,ECAJL,19.714444,-103.066667
2014/01/02,0.00,,,,3.45,ECAJL,19.714444,-103.066667
2014/01/03,0.00,,,,3.23,ECAJL,19.714444,-103.066667
2014/01/04,0.00,,,,3.46,ECAJL,19.714444,-103.066667
2014/01/05,0.00,,,,3.39,ECAJL,19.714444,-103.066667
2014/01/06,0.00,,,,2.83,ECAJL,19.714444,-103.066667
2014/01/07,0.00,,,,3.83,ECAJL,19.714444,-103.066667
2014/01/08,0.00,,,,3.76,ECAJL,19.714444,-103.066667
2014/01/09,0.00,,,,4.08,ECAJL,19.714444,-103.066667
2014/01/10,0.30,,,,3.49,ECAJL,19.714444,-103.066667
2014/01/11,0.00,,,,2.89,ECAJL,19.714444,-103.066667
2014/01/12,0.00,,,,3.11,ECAJL,19.714444,-103.066667
2014/01/13,0.00,,,,3.78,ECAJL,19.714444,-103.066667
2014/01/14,0.00,,,,3.81,ECAJL,19.714444,-103.066667
2014/01/15,0.00,,,,3.62,ECAJL,19.714444,-103.066667
2014/01/16,0.00,,,,3.10,ECAJL,19.714444,-103.066667
2014/01/17,0.00,,,,3.74,ECAJL,19.714444,-103.066667
2014/01/18,0.00,,,,3.29,ECAJL,19.714444,-103.066667
2014/01/19,0.00,,,,2.77,ECAJL,19.714444,-103.066667
2014/01/20,0.00,,,,3.63,ECAJL,19.714444,-103.066667
2014/01/21,0.00,,,,5.60,ECAJL,19.714444,-103.066667
2014/01/22,0.00,,,,4.27,ECAJL,19.714444,-103.066667
2014/01/23,0.00,,,,4.26,ECAJL,19.714444,-103.066667
2014/01/24,0.00,,,,3.93,ECAJL,19.714444,-103.066667
2014/01/25,0.00,,,,3.96,ECAJL,19.714444,-103.066667
2014/01/26,0.00,,,,4.26,ECAJL,19.714444,-103.066667
2014/01/27,0.00,,,,2.93,ECAJL,19.714444,-103.066667
2014/01/28,0.00,,,,4.44,ECAJL,19.714444,-103.066667
2014/01/29,0.00,,,,4.26,ECAJL,19.714444,-103.066667
2014/01/30,0.00,,,,4.51,ECAJL,19.714444,-103.066667
2014/01/31,0.00,,,,3.72,ECAJL,19.714444,-103.066667
2014/02/01,0.00,,,,4.36,ECAJL,19.714444,-103.066667
2014/02/02,0.00,,,,4.77,ECAJL,19.714444,-103.066667
2014/02/03,0.00,,,,4.70,ECAJL,19.714444,-103.066667
2014/02/04,0.00,,,,4.78,ECAJL,19.714444,-103.066667
2014/02/05,0.00,,,,4.55,ECAJL,19.714444,-103.066667
2014/02/06,0.00,,,,5.67,ECAJL,19.714444,-103.066667
2014/02/07,0.00,,,,4.65,ECAJL,19.714444,-103.066667
2014/02/08,0.00,,,,3.67,ECAJL,19.714444,-103.066667
2014/02/09,0.00,,,,4.21,ECAJL,19.714444,-103.066667
2014/02/10,0.00,,,,5.12,ECAJL,19.714444,-103.066667
2014/02/11,0.00,,,,6.14,ECAJL,19.714444,-103.066667
2014/02/12,0.00,,,,7.57,ECAJL,19.714444,-103.066667
2014/02/13,0.00,,,,5.07,ECAJL,19.714444,-103.066667
2014/02/14,0.00,,,,5.53,ECAJL,19.714444,-103.066667
2014/02/15,0.00,,,,5.46,ECAJL,19.714444,-103.066667
2014/02/16,0.00,,,,5.49,ECAJL,19.714444,-103.066667
2014/02/17,0.00,,,,5.31,ECAJL,19.714444,-103.066667
2014/02/18,0.00,,,,5.53,ECAJL,19.714444,-103.066667
2014/02/19,0.00,,,,5.29,ECAJL,19.714444,-103.066667
2014/02/20,0.00,,,,3.92,ECAJL,19.714444,-103.066667
2014/02/21,0.00,,,,4.38,ECAJL,19.714444,-103.066667
2014/02/22,0.00,,,,4.98,ECAJL,19.714444,-103.066667
2014/02/23,0.00,,,,5.84,ECAJL,19.714444,-103.066667
2014/02/24,0.00,,,,5.50,ECAJL,19.714444,-103.066667
2014/02/25,0.00,,,,4.31,ECAJL,19.714444,-103.066667
2014/02/26,0.00,,,,5.60,ECAJL,19.714444,-103.066667
2014/02/27,0.00,,,,5.75,ECAJL,19.714444,-103.066667
2014/02/28,0.00,,,,5.53,ECAJL,19.714444,-103.066667
2014/03/01,0.00,,,,7.24,ECAJL,19.714444,-103.066667
2014/03/02,0.00,,,,6.49,ECAJL,19.714444,-103.066667
2014/03/03,0.00,,,,5.83,ECAJL,19.714444,-103.066667
2014/03/04,0.00,,,,6.36,ECAJL,19.714444,-103.066667
2014/03/05,0.00,,,,6.18,ECAJL,19.714444,-103.066667
2014/03/06,0.00,,,,6.25,ECAJL,19.714444,-103.066667
2014/03/07,0.00,,,,5.81,ECAJL,19.714444,-103.066667
2014/03/08,0.00,,,,5.44,ECAJL,19.714444,-103.066667
2014/03/09,0.00,,,,6.20,ECAJL,19.714444,-103.066667
2014/03/10,0.00,,,,6.09,ECAJL,19.714444,-103.066667
2014/03/11,0.00,,,,6.34,ECAJL,19.714444,-103.066667
