Fecha, Precipitación(mm), Temperatura Media(ºC), Temperatura Máxima(ºC), Temperatura Mínima(ºC), Evaporación(mm),Clave,Latitud,Longitud
2014/12/12,0.00,,-,-,-,MRZJL,20.016667,-103.476111
2014/12/13,-,,-,-,-,MRZJL,20.016667,-103.476111
2014/12/14,-,,-,-,-,MRZJL,20.016667,-103.476111
2014/12/15,-,,-,-,-,MRZJL,20.016667,-103.476111
2014/12/16,-,,-,-,-,MRZJL,20.016667,-103.476111
2014/12/17,-,,-,-,-,MRZJL,20.016667,-103.476111
2014/12/18,-,,-,-,-,MRZJL,20.016667,-103.476111
2014/12/19,-,,-,-,-,MRZJL,20.016667,-103.476111
2014/12/20,-,,-,-,-,MRZJL,20.016667,-103.476111
2014/12/21,-,,-,-,-,MRZJL,20.016667,-103.476111
2014/12/22,-,,-,-,-,MRZJL,20.016667,-103.476111
2014/12/23,-,,-,-,-,MRZJL,20.016667,-103.476111
2014/12/24,-,,-,-,-,MRZJL,20.016667,-103.476111
2014/12/25,-,,-,-,-,MRZJL,20.016667,-103.476111
2014/12/26,-,,-,-,-,MRZJL,20.016667,-103.476111
2014/12/27,-,,-,-,-,MRZJL,20.016667,-103.476111
2014/12/28,-,,-,-,-,MRZJL,20.016667,-103.476111
2014/12/29,-,,-,-,-,MRZJL,20.016667,-103.476111
2014/12/30,-,,-,-,-,MRZJL,20.016667,-103.476111
2014/12/31,-,,-,-,-,MRZJL,20.016667,-103.476111
2015/01/01,0.00,,-,-,3.35,MRZJL,20.016667,-103.476111
2015/01/02,0.00,,-,-,5.14,MRZJL,20.016667,-103.476111
2015/01/03,0.00,,-,-,4.09,MRZJL,20.016667,-103.476111
2015/01/04,0.00,,-,-,4.48,MRZJL,20.016667,-103.476111
2015/01/05,0.00,,-,-,3.00,MRZJL,20.016667,-103.476111
2015/01/06,0.00,,-,-,3.16,MRZJL,20.016667,-103.476111
2015/01/07,0.00,,-,-,3.58,MRZJL,20.016667,-103.476111
2015/01/08,0.00,,-,-,6.42,MRZJL,20.016667,-103.476111
2015/01/09,0.00,,-,-,5.64,MRZJL,20.016667,-103.476111
2015/01/10,0.01,,-,-,2.62,MRZJL,20.016667,-103.476111
2015/01/11,0.00,,-,-,4.63,MRZJL,20.016667,-103.476111
2015/01/12,0.00,,-,-,5.93,MRZJL,20.016667,-103.476111
2015/01/13,0.00,,-,-,4.09,MRZJL,20.016667,-103.476111
2015/01/14,0.00,,-,-,1.51,MRZJL,20.016667,-103.476111
2015/01/15,0.00,,-,-,6.06,MRZJL,20.016667,-103.476111
2015/01/16,0.00,,-,-,3.96,MRZJL,20.016667,-103.476111
2015/01/17,0.00,,-,-,5.54,MRZJL,20.016667,-103.476111
2015/01/18,0.00,,-,-,4.24,MRZJL,20.016667,-103.476111
2015/01/19,0.00,,-,-,4.91,MRZJL,20.016667,-103.476111
2015/01/20,0.00,,-,-,6.43,MRZJL,20.016667,-103.476111
2015/01/21,0.00,,-,-,5.10,MRZJL,20.016667,-103.476111
2015/01/22,0.00,,-,-,5.73,MRZJL,20.016667,-103.476111
2015/01/23,0.00,,-,-,5.08,MRZJL,20.016667,-103.476111
2015/01/24,0.00,,-,-,5.39,MRZJL,20.016667,-103.476111
2015/01/25,0.00,,-,-,4.02,MRZJL,20.016667,-103.476111
2015/01/26,0.01,,-,-,2.50,MRZJL,20.016667,-103.476111
2015/01/27,0.00,,-,-,4.70,MRZJL,20.016667,-103.476111
2015/01/28,0.00,,-,-,6.03,MRZJL,20.016667,-103.476111
2015/01/29,0.00,,-,-,6.03,MRZJL,20.016667,-103.476111
