Fecha, Precipitación(mm), Temperatura Media(ºC), Temperatura Máxima(ºC), Temperatura Mínima(ºC), Evaporación(mm),Clave,Latitud,Longitud
1994/04/23,0.00,-,-,-,-,TRJCM,18.967222,-103.396667
1994/04/24,-,-,-,-,-,TRJCM,18.967222,-103.396667
1994/04/25,-,-,-,-,-,TRJCM,18.967222,-103.396667
1994/04/26,0.00,-,-,-,-,TRJCM,18.967222,-103.396667
1994/04/27,-,-,-,-,-,TRJCM,18.967222,-103.396667
1994/04/28,-,-,-,-,-,TRJCM,18.967222,-103.396667
1994/04/29,-,-,-,-,-,TRJCM,18.967222,-103.396667
1994/04/30,0.00,-,-,-,-,TRJCM,18.967222,-103.396667
1994/05/01,-,-,-,-,-,TRJCM,18.967222,-103.396667
1994/05/02,-,-,-,-,-,TRJCM,18.967222,-103.396667
1994/05/03,-,-,-,-,-,TRJCM,18.967222,-103.396667
1994/05/04,-,-,-,-,-,TRJCM,18.967222,-103.396667
1994/05/05,-,-,-,-,-,TRJCM,18.967222,-103.396667
1994/05/06,-,-,-,-,-,TRJCM,18.967222,-103.396667
1994/05/07,-,-,-,-,-,TRJCM,18.967222,-103.396667
1994/05/08,-,-,-,-,-,TRJCM,18.967222,-103.396667
1994/05/09,0.00,-,-,-,-,TRJCM,18.967222,-103.396667
1994/05/10,-,-,-,-,-,TRJCM,18.967222,-103.396667
1994/05/11,-,-,-,-,-,TRJCM,18.967222,-103.396667
1994/05/12,0.00,-,-,-,-,TRJCM,18.967222,-103.396667
1994/05/13,-,-,-,-,-,TRJCM,18.967222,-103.396667
1994/05/14,-,-,-,-,-,TRJCM,18.967222,-103.396667
1994/05/15,-,-,-,-,-,TRJCM,18.967222,-103.396667
1994/05/16,-,-,-,-,-,TRJCM,18.967222,-103.396667
1994/05/17,-,-,-,-,-,TRJCM,18.967222,-103.396667
1994/05/18,-,-,-,-,-,TRJCM,18.967222,-103.396667
1994/05/19,-,-,-,-,-,TRJCM,18.967222,-103.396667
1994/05/20,-,-,-,-,-,TRJCM,18.967222,-103.396667
1994/05/21,-,-,-,-,-,TRJCM,18.967222,-103.396667
1994/05/22,-,-,-,-,-,TRJCM,18.967222,-103.396667
1994/05/23,-,-,-,-,-,TRJCM,18.967222,-103.396667
1994/05/24,-,-,-,-,-,TRJCM,18.967222,-103.396667
1994/05/25,-,-,-,-,-,TRJCM,18.967222,-103.396667
1994/05/26,-,-,-,-,-,TRJCM,18.967222,-103.396667
1994/05/27,-,-,-,-,-,TRJCM,18.967222,-103.396667
1994/05/28,-,-,-,-,-,TRJCM,18.967222,-103.396667
1994/05/29,-,-,-,-,-,TRJCM,18.967222,-103.396667
1994/05/30,-,-,-,-,-,TRJCM,18.967222,-103.396667
1994/05/31,-,-,-,-,-,TRJCM,18.967222,-103.396667
1994/06/01,-,-,-,-,-,TRJCM,18.967222,-103.396667
1994/06/02,-,-,-,-,-,TRJCM,18.967222,-103.396667
1994/06/03,-,-,-,-,-,TRJCM,18.967222,-103.396667
1994/06/04,-,-,-,-,-,TRJCM,18.967222,-103.396667
1994/06/05,-,-,-,-,-,TRJCM,18.967222,-103.396667
1994/06/06,-,-,-,-,-,TRJCM,18.967222,-103.396667
1994/06/07,-,-,-,-,-,TRJCM,18.967222,-103.396667
1994/06/08,-,-,-,-,-,TRJCM,18.967222,-103.396667
1994/06/09,-,-,-,-,-,TRJCM,18.967222,-103.396667
1994/06/10,-,-,-,-,-,TRJCM,18.967222,-103.396667
1994/06/11,-,-,-,-,-,TRJCM,18.967222,-103.396667
1994/06/12,-,-,-,-,-,TRJCM,18.967222,-103.396667
1994/06/13,-,-,-,-,-,TRJCM,18.967222,-103.396667
1994/06/14,-,-,-,-,-,TRJCM,18.967222,-103.396667
1994/06/15,-,-,-,-,-,TRJCM,18.967222,-103.396667
1994/06/16,-,-,-,-,-,TRJCM,18.967222,-103.396667
1994/06/17,-,-,-,-,-,TRJCM,18.967222,-103.396667
1994/06/18,-,-,-,-,-,TRJCM,18.967222,-103.396667
1994/06/19,-,-,-,-,-,TRJCM,18.967222,-103.396667
1994/06/20,-,-,-,-,-,TRJCM,18.967222,-103.396667
1994/06/21,-,-,-,-,-,TRJCM,18.967222,-103.396667
1994/06/22,-,-,-,-,-,TRJCM,18.967222,-103.396667
1994/06/23,-,-,-,-,-,TRJCM,18.967222,-103.396667
1994/06/24,-,-,-,-,-,TRJCM,18.967222,-103.396667
1994/06/25,-,-,-,-,-,TRJCM,18.967222,-103.396667
1994/06/26,-,-,-,-,-,TRJCM,18.967222,-103.396667
1994/06/27,-,-,-,-,-,TRJCM,18.967222,-103.396667
1994/06/28,-,-,-,-,-,TRJCM,18.967222,-103.396667
1994/06/29,0.00,-,-,-,-,TRJCM,18.967222,-103.396667
1994/06/30,-,-,-,-,-,TRJCM,18.967222,-103.396667
1994/07/01,-,-,-,-,-,TRJCM,18.967222,-103.396667
1994/07/02,-,-,-,-,-,TRJCM,18.967222,-103.396667
1994/07/03,-,-,-,-,-,TRJCM,18.967222,-103.396667
1994/07/04,-,-,-,-,-,TRJCM,18.967222,-103.396667
1994/07/05,-,-,-,-,-,TRJCM,18.967222,-103.396667
1994/07/06,-,-,-,-,-,TRJCM,18.967222,-103.396667
1994/07/07,-,-,-,-,-,TRJCM,18.967222,-103.396667
1994/07/08,-,-,-,-,-,TRJCM,18.967222,-103.396667
1994/07/09,-,-,-,-,-,TRJCM,18.967222,-103.396667
1994/07/10,-,-,-,-,-,TRJCM,18.967222,-103.396667
1994/07/11,-,-,-,-,-,TRJCM,18.967222,-103.396667
1994/07/12,-,-,-,-,-,TRJCM,18.967222,-103.396667
1994/07/13,-,-,-,-,-,TRJCM,18.967222,-103.396667
1994/07/14,-,-,-,-,-,TRJCM,18.967222,-103.396667
1994/07/15,-,-,-,-,-,TRJCM,18.967222,-103.396667
1994/07/16,-,-,-,-,-,TRJCM,18.967222,-103.396667
1994/07/17,-,-,-,-,-,TRJCM,18.967222,-103.396667
1994/07/18,-,-,-,-,-,TRJCM,18.967222,-103.396667
1994/07/19,-,-,-,-,-,TRJCM,18.967222,-103.396667
1994/07/20,-,-,-,-,-,TRJCM,18.967222,-103.396667
1994/07/21,-,-,-,-,-,TRJCM,18.967222,-103.396667
1994/07/22,-,-,-,-,-,TRJCM,18.967222,-103.396667
1994/07/23,-,-,-,-,-,TRJCM,18.967222,-103.396667
1994/07/24,-,-,-,-,-,TRJCM,18.967222,-103.396667
1994/07/25,-,-,-,-,-,TRJCM,18.967222,-103.396667
1994/07/26,-,-,-,-,-,TRJCM,18.967222,-103.396667
1994/07/27,-,-,-,-,-,TRJCM,18.967222,-103.396667
1994/07/28,-,-,-,-,-,TRJCM,18.967222,-103.396667
1994/07/29,-,-,-,-,-,TRJCM,18.967222,-103.396667
1994/07/30,-,-,-,-,-,TRJCM,18.967222,-103.396667
1994/07/31,-,-,-,-,-,TRJCM,18.967222,-103.396667
1994/08/01,-,-,-,-,-,TRJCM,18.967222,-103.396667
1994/08/02,-,-,-,-,-,TRJCM,18.967222,-103.396667
1994/08/03,-,-,-,-,-,TRJCM,18.967222,-103.396667
1994/08/04,-,-,-,-,-,TRJCM,18.967222,-103.396667
1994/08/05,-,-,-,-,-,TRJCM,18.967222,-103.396667
1994/08/06,-,-,-,-,-,TRJCM,18.967222,-103.396667
1994/08/07,-,-,-,-,-,TRJCM,18.967222,-103.396667
