Fecha, Precipitación(mm), Temperatura Media(ºC), Temperatura Máxima(ºC), Temperatura Mínima(ºC), Evaporación(mm),Clave,Latitud,Longitud
1984/03/28,0.00,-,-,-,7.70,C06071,19.162222,-103.524167
1984/03/29,0.00,-,-,-,6.60,C06071,19.162222,-103.524167
1984/03/30,0.00,-,-,-,9.80,C06071,19.162222,-103.524167
1984/03/31,0.00,-,-,-,5.30,C06071,19.162222,-103.524167
1984/04/01,0.00,24.00,31.00,17.00,8.40,C06071,19.162222,-103.524167
1984/04/02,0.00,25.75,34.50,17.00,9.90,C06071,19.162222,-103.524167
1984/04/03,0.00,26.25,36.00,16.50,4.30,C06071,19.162222,-103.524167
1984/04/04,0.00,23.75,31.00,16.50,9.80,C06071,19.162222,-103.524167
1984/04/05,0.00,26.50,36.00,17.00,8.20,C06071,19.162222,-103.524167
1984/04/06,0.00,27.00,36.00,18.00,7.00,C06071,19.162222,-103.524167
1984/04/07,0.00,26.25,35.50,17.00,9.80,C06071,19.162222,-103.524167
1984/04/08,0.00,27.00,36.50,17.50,4.60,C06071,19.162222,-103.524167
1984/04/09,0.00,26.75,36.50,17.00,9.90,C06071,19.162222,-103.524167
1984/04/10,0.00,26.50,33.50,19.50,7.00,C06071,19.162222,-103.524167
1984/04/11,0.00,25.50,36.00,15.00,10.60,C06071,19.162222,-103.524167
1984/04/12,0.00,24.75,35.00,14.50,7.00,C06071,19.162222,-103.524167
1984/04/13,0.00,23.75,33.50,14.00,10.10,C06071,19.162222,-103.524167
1984/04/14,0.00,25.50,36.50,14.50,5.80,C06071,19.162222,-103.524167
1984/04/15,0.00,24.25,34.00,14.50,6.50,C06071,19.162222,-103.524167
1984/04/16,0.00,25.00,35.50,14.50,9.70,C06071,19.162222,-103.524167
1984/04/17,0.00,25.50,35.50,15.50,9.90,C06071,19.162222,-103.524167
1984/04/18,0.00,27.50,36.50,18.50,6.00,C06071,19.162222,-103.524167
1984/04/19,0.00,27.50,37.00,18.00,12.60,C06071,19.162222,-103.524167
1984/04/20,0.00,27.00,36.50,17.50,9.90,C06071,19.162222,-103.524167
1984/04/21,0.00,25.50,34.00,17.00,5.60,C06071,19.162222,-103.524167
1984/04/22,0.00,25.25,35.50,15.00,9.60,C06071,19.162222,-103.524167
1984/04/23,0.00,25.75,36.00,15.50,7.70,C06071,19.162222,-103.524167
1984/04/24,0.00,25.25,35.50,15.00,8.80,C06071,19.162222,-103.524167
1984/04/25,0.00,24.00,34.50,13.50,8.90,C06071,19.162222,-103.524167
1984/04/26,0.00,25.75,35.50,16.00,8.85,C06071,19.162222,-103.524167
1984/04/27,0.00,25.75,35.00,16.50,8.30,C06071,19.162222,-103.524167
1984/04/28,0.00,25.75,35.50,16.00,6.40,C06071,19.162222,-103.524167
1984/04/29,0.00,26.50,35.50,17.50,1.60,C06071,19.162222,-103.524167
1984/04/30,0.00,27.00,36.00,18.00,7.00,C06071,19.162222,-103.524167
1984/05/01,0.00,27.00,36.00,18.00,4.50,C06071,19.162222,-103.524167
1984/05/02,0.00,25.00,33.00,17.00,7.90,C06071,19.162222,-103.524167
