Fecha, Precipitación(mm), Temperatura Media(ºC), Temperatura Máxima(ºC), Temperatura Mínima(ºC), Evaporación(mm),Clave,Latitud,Longitud
1965/03/01,0.00,-,-,-,-,MNZCM,19.044444,-104.318611
1965/03/02,0.00,-,-,-,-,MNZCM,19.044444,-104.318611
1965/03/03,0.00,-,-,-,-,MNZCM,19.044444,-104.318611
1965/03/04,0.00,-,-,-,-,MNZCM,19.044444,-104.318611
1965/03/05,0.00,-,-,-,-,MNZCM,19.044444,-104.318611
1965/03/06,0.00,-,-,-,-,MNZCM,19.044444,-104.318611
1965/03/07,0.00,-,-,-,-,MNZCM,19.044444,-104.318611
1965/03/08,0.00,-,-,-,-,MNZCM,19.044444,-104.318611
1965/03/09,0.00,-,-,-,-,MNZCM,19.044444,-104.318611
1965/03/10,0.00,-,-,-,-,MNZCM,19.044444,-104.318611
1965/03/11,0.00,-,-,-,-,MNZCM,19.044444,-104.318611
1965/03/12,0.00,-,-,-,-,MNZCM,19.044444,-104.318611
1965/03/13,0.00,-,-,-,-,MNZCM,19.044444,-104.318611
1965/03/14,0.00,-,-,-,-,MNZCM,19.044444,-104.318611
1965/03/15,0.00,-,-,-,-,MNZCM,19.044444,-104.318611
1965/03/16,0.00,-,-,-,-,MNZCM,19.044444,-104.318611
1965/03/17,0.00,-,-,-,-,MNZCM,19.044444,-104.318611
1965/03/18,0.00,-,-,-,-,MNZCM,19.044444,-104.318611
1965/03/19,0.00,-,-,-,-,MNZCM,19.044444,-104.318611
1965/03/20,0.00,-,-,-,-,MNZCM,19.044444,-104.318611
1965/03/21,0.00,-,-,-,-,MNZCM,19.044444,-104.318611
1965/03/22,0.00,-,-,-,-,MNZCM,19.044444,-104.318611
1965/03/23,0.00,-,-,-,-,MNZCM,19.044444,-104.318611
1965/03/24,0.00,-,-,-,-,MNZCM,19.044444,-104.318611
1965/03/25,0.00,-,-,-,-,MNZCM,19.044444,-104.318611
1965/03/26,0.00,-,-,-,-,MNZCM,19.044444,-104.318611
1965/03/27,0.00,-,-,-,-,MNZCM,19.044444,-104.318611
1965/03/28,0.00,-,-,-,-,MNZCM,19.044444,-104.318611
1965/03/29,0.00,-,-,-,-,MNZCM,19.044444,-104.318611
1965/03/30,0.00,-,-,-,-,MNZCM,19.044444,-104.318611
1965/03/31,0.00,-,-,-,-,MNZCM,19.044444,-104.318611
1965/04/01,0.00,-,-,-,-,MNZCM,19.044444,-104.318611
1965/04/02,0.00,-,-,-,-,MNZCM,19.044444,-104.318611
1965/04/03,0.00,-,-,-,-,MNZCM,19.044444,-104.318611
1965/04/04,0.00,-,-,-,-,MNZCM,19.044444,-104.318611
1965/04/05,0.00,-,-,-,-,MNZCM,19.044444,-104.318611
1965/04/06,0.00,-,-,-,-,MNZCM,19.044444,-104.318611
1965/04/07,0.00,-,-,-,-,MNZCM,19.044444,-104.318611
1965/04/08,0.00,-,-,-,-,MNZCM,19.044444,-104.318611
1965/04/09,0.00,-,-,-,-,MNZCM,19.044444,-104.318611
1965/04/10,0.00,-,-,-,-,MNZCM,19.044444,-104.318611
1965/04/11,0.00,-,-,-,-,MNZCM,19.044444,-104.318611
1965/04/12,0.00,-,-,-,-,MNZCM,19.044444,-104.318611
1965/04/13,0.00,-,-,-,-,MNZCM,19.044444,-104.318611
1965/04/14,0.00,-,-,-,-,MNZCM,19.044444,-104.318611
1965/04/15,0.00,-,-,-,-,MNZCM,19.044444,-104.318611
1965/04/16,0.00,-,-,-,-,MNZCM,19.044444,-104.318611
1965/04/17,0.00,-,-,-,-,MNZCM,19.044444,-104.318611
1965/04/18,0.00,-,-,-,-,MNZCM,19.044444,-104.318611
1965/04/19,0.00,-,-,-,-,MNZCM,19.044444,-104.318611
1965/04/20,0.00,-,-,-,-,MNZCM,19.044444,-104.318611
1965/04/21,0.00,-,-,-,-,MNZCM,19.044444,-104.318611
1965/04/22,0.00,-,-,-,-,MNZCM,19.044444,-104.318611
1965/04/23,0.00,-,-,-,-,MNZCM,19.044444,-104.318611
1965/04/24,0.00,-,-,-,-,MNZCM,19.044444,-104.318611
1965/04/25,0.00,-,-,-,-,MNZCM,19.044444,-104.318611
1965/04/26,0.00,-,-,-,-,MNZCM,19.044444,-104.318611
1965/04/27,0.00,-,-,-,-,MNZCM,19.044444,-104.318611
1965/04/28,0.00,-,-,-,-,MNZCM,19.044444,-104.318611
1965/04/29,0.00,-,-,-,-,MNZCM,19.044444,-104.318611
1965/04/30,0.00,-,-,-,-,MNZCM,19.044444,-104.318611
1965/05/01,0.00,-,-,-,-,MNZCM,19.044444,-104.318611
1965/05/02,0.00,-,-,-,-,MNZCM,19.044444,-104.318611
1965/05/03,0.00,-,-,-,-,MNZCM,19.044444,-104.318611
1965/05/04,0.00,-,-,-,-,MNZCM,19.044444,-104.318611
1965/05/05,0.00,-,-,-,-,MNZCM,19.044444,-104.318611
1965/05/06,0.00,-,-,-,-,MNZCM,19.044444,-104.318611
1965/05/07,0.00,-,-,-,-,MNZCM,19.044444,-104.318611
1965/05/08,0.00,-,-,-,-,MNZCM,19.044444,-104.318611
1965/05/09,0.00,-,-,-,-,MNZCM,19.044444,-104.318611
1965/05/10,0.00,-,-,-,-,MNZCM,19.044444,-104.318611
1965/05/11,0.00,-,-,-,-,MNZCM,19.044444,-104.318611
1965/05/12,0.00,-,-,-,-,MNZCM,19.044444,-104.318611
1965/05/13,0.00,-,-,-,-,MNZCM,19.044444,-104.318611
1965/05/14,0.00,-,-,-,-,MNZCM,19.044444,-104.318611
1965/05/15,0.00,-,-,-,-,MNZCM,19.044444,-104.318611
1965/05/16,0.00,-,-,-,-,MNZCM,19.044444,-104.318611
1965/05/17,0.00,-,-,-,-,MNZCM,19.044444,-104.318611
1965/05/18,0.00,-,-,-,-,MNZCM,19.044444,-104.318611
1965/05/19,0.00,-,-,-,-,MNZCM,19.044444,-104.318611
1965/05/20,0.00,-,-,-,-,MNZCM,19.044444,-104.318611
1965/05/21,0.00,-,-,-,-,MNZCM,19.044444,-104.318611
1965/05/22,0.00,-,-,-,-,MNZCM,19.044444,-104.318611
